date,experiment,target,library,antibody,concentration,sort_bin,selection,sample,experiment_type,number_cells,frac_escape,R1
220816,exptREF,Wuhan_Hu_1,lib12,none,0,ref,reference,exptREF-none-0-ref,ab_selection,,,/uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2022/220816_Overbaugh-mAb-MAP/WH1_lib1_ref1_S70_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2022/220816_Overbaugh-mAb-MAP/WH1_lib1_ref2_S71_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2022/220816_Overbaugh-mAb-MAP/WH1_lib1_ref3_S72_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2022/220816_Overbaugh-mAb-MAP/WH1_lib1_ref4_S73_R1_001.fastq.gz
220816,exptREF,Wuhan_Hu_1,lib13,none,0,ref,reference,exptREF-none-0-ref,ab_selection,,,/uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2022/220816_Overbaugh-mAb-MAP/WH1_lib2_ref1_S74_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2022/220816_Overbaugh-mAb-MAP/WH1_lib2_ref2_S75_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2022/220816_Overbaugh-mAb-MAP/WH1_lib2_ref3_S76_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2022/220816_Overbaugh-mAb-MAP/WH1_lib2_ref4_S77_R1_001.fastq.gz
220816,expt8,Wuhan_Hu_1,lib12,C68_88,384,abneg,escape,expt8-C68_88-384-abneg,ab_selection,204245,0.056,/uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2022/220816_Overbaugh-mAb-MAP/expt8_lib1_S15_R1_001.fastq.gz
220816,expt8,Wuhan_Hu_1,lib13,C68_88,384,abneg,escape,expt8-C68_88-384-abneg,ab_selection,210346,0.059,/uufs/chpc.utah.edu/common/home/u6042467/starr-group1/sequencing/TNS/2022/220816_Overbaugh-mAb-MAP/expt8_lib2_S16_R1_001.fastq.gz
230714,exptREF2,Wuhan_Hu_1,lib12,none,0,ref,reference,exptREF2-none-0-ref,ab_selection,,,/uufs/chpc.utah.edu/common/home/starr-group1/sequencing/TNS/2023/230925_Azenta-pools/230714_Overbaugh-DMS-batch2/2023-07-14-lib12-pre-1_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/starr-group1/sequencing/TNS/2023/230925_Azenta-pools/230714_Overbaugh-DMS-batch2/2023-07-14-lib12-pre-2_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/starr-group1/sequencing/TNS/2023/230925_Azenta-pools/230714_Overbaugh-DMS-batch2/2023-07-14-lib12-pre-3_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/starr-group1/sequencing/TNS/2023/230925_Azenta-pools/230714_Overbaugh-DMS-batch2/2023-07-14-lib12-pre-4_R1_001.fastq.gz
230714,exptREF2,Wuhan_Hu_1,lib13,none,0,ref,reference,exptREF2-none-0-ref,ab_selection,,,/uufs/chpc.utah.edu/common/home/starr-group1/sequencing/TNS/2023/230925_Azenta-pools/230714_Overbaugh-DMS-batch2/2023-07-14-lib13-pre-1_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/starr-group1/sequencing/TNS/2023/230925_Azenta-pools/230714_Overbaugh-DMS-batch2/2023-07-14-lib13-pre-2_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/starr-group1/sequencing/TNS/2023/230925_Azenta-pools/230714_Overbaugh-DMS-batch2/2023-07-14-lib13-pre-3_R1_001.fastq.gz; /uufs/chpc.utah.edu/common/home/starr-group1/sequencing/TNS/2023/230925_Azenta-pools/230714_Overbaugh-DMS-batch2/2023-07-14-lib13-pre-4_R1_001.fastq.gz
230714,expt7,Wuhan_Hu_1,lib12,C68_239,73,abneg,escape,expt7-C68_239-73-abneg,ab_selection,456000,0.114,/uufs/chpc.utah.edu/common/home/starr-group1/sequencing/TNS/2023/230925_Azenta-pools/230714_Overbaugh-DMS-batch2/2023-07-14-expt7-lib1_R1_001.fastq.gz
230714,expt7,Wuhan_Hu_1,lib13,C68_239,73,abneg,escape,expt7-C68_239-73-abneg,ab_selection,828000,0.207,/uufs/chpc.utah.edu/common/home/starr-group1/sequencing/TNS/2023/230925_Azenta-pools/230714_Overbaugh-DMS-batch2/2023-07-14-expt7-lib2_R1_001.fastq.gz
